IPC_number,IPC,Description
229A, Failure by person released on bail or bond to appear in court,"Whoever, having been
charged with an offence and released on bail or on bond without sureties, fails without sufficient cause
(the burden of proving which shall lie upon him), to appear in court in accordance with the terms of the
bail or bond, "
294  B,Keeping lottery office.—,"Whoever keeps any office or place for the purpose of drawing any lottery 6 [not being 7 [a State lottery] or a lottery authorised by the 8 [State] Government], 
And whoever publishes any proposal to pay any sum, or to deliver any goods, or to do or forbear
doing anything for the benefit of any person, on any event or contingency relative or applicable to the
drawing of any ticket, lot, number or figure in any such lottery, "
294 A,Obscene acts and songs.—,"Whoever, to the annoyance of others,
(a) does any obscene act in any public place, or
(b) sings, recites or utters any obscene song, ballad or words, in or near any public place,

"
295 A,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs.—","Whoever, with deliberate and malicious intention of outraging the religious feelings of any class of 2 [citizens of India], 3 [by words, either spoken or written, or or by signs or by visible representations or otherwise], insults or attempts to insult the religion or the religious beliefs of that class, "
304A, Causing death by negligence,"Whoever causes the death of any person by doing any rash
or negligent act not amounting to culpable homicide, "
304B,Dowry death,"(1) Where the death of a woman is caused by any burns or bodily injury or
occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that
soon before her death she was subjected to cruelty or harassment by her husband or any relative of her
husband for, or in connection with, any demand for dowry, such death shall be called “dowry death”, and
such husband or relative shall be deemed to have caused her death.
Explanation.—For the purposes of this sub-section, “dowry” shall have the same meaning as in
section 2 of the Dowry Prohibition Act, 1961 (28 of 1961).
"
326A,"Voluntarily causing grievous hurt by use of acid, etc.","Whoever causes permanent or
partial damage or deformity to, or burns or maims or disfigures or disables, any part or parts of the body
of a person or causes grievous hurt by throwing acid on or by administering acid to that person, or by
using any other means with the intention of causing or with the knowledge that he is likely to cause such
injury or hurt,
"
326B,Voluntarily throwing or attempting to throw acid.,"Whoever throws or attempts to throw
acid on any person or attempts to administer acid to any person, or attempts to use any other means, with
the intention of causing permanent or partial damage or deformity or burns or maiming or disfigurement
or disability or grievous hurt to that person, 
Explanation 1.—For the purposes of section 326A and this section, ""acid"" includes any substance
which has acidic or corrosive character or burning nature, that is capable of causing bodily injury leading
to scars or disfigurement or temporary or permanent disability.
Explanation 2.—For the purposes of section 326A and this section, permanent or partial damage or
deformity shall not be required to be irreversible."
354A,Sexual harassment and punishment for sexual harassment.,"(1) A man committing any
of the following acts—
(i) physical contact and advances involving unwelcome and explicit sexual overtures; or
(ii) a demand or request for sexual favours; or
(iii) showing pornography against the will of a woman; or
(iv) making sexually coloured remarks,
shall be guilty of the offence of sexual harassment.
"
354B,Assault or use of criminal force to woman with intent to disrobe,"Any man who assaults
or uses criminal force to any woman or abets such act with the intention of disrobing or compelling her to
be naked, "
354C,Voyeurism,"Any man who watches, or captures the image of a woman engaging in a private
act in circumstances where she would usually have the expectation of not being observed either by the
perpetrator or by any other person at the behest of the perpetrator or disseminates such image "
354D,Stalking,"(1) Any man who—
(i) follows a woman and contacts, or attempts to contact such woman to foster personal
interaction repeatedly despite a clear indication of disinterest by such woman; or
(ii) monitors the use by a woman of the internet, email or any other form of electronic
communication,
commits the offence of stalking: Provided that such conduct shall not amount to stalking if the man who pursued it proves that—
(i) it was pursued for the purpose of preventing or detecting crime and the man accused of
stalking had been entrusted with the responsibility of prevention and detection of crime by the
State; or
(ii) it was pursued under any law or to comply with any condition or requirement imposed by
any person under any law; or
(iii) in the particular circumstances such conduct was reasonable and justified.
"
363A,Kidnapping or maiming a minor for purposes of begging,"—(1) Whoever kidnaps any minor or, not being the lawful guardian of a minor, obtains the custody of the minor, in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. (2) Whoever maims any minor in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment for life, and shall also be liable to fine. (3) Where any person, not being the lawful guardian of a minor, employs or uses such minor for the purposes of begging, it shall be presumed, unless the contrary is proved, that he kidnapped or otherwise obtained the custody of that minor in order that the minor might be employed or used for the purposes of begging. (4) In this section,— (a) “begging” means— (i) soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise; (ii) entering on any private premises for the purpose of soliciting or receiving alms; (iii) exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal; (iv) using a minor as an exhibit for the purpose of soliciting or receiving alms; (b) “minor” means— (i) in the case of a male, a person under sixteen years of age; and (ii) in the case of a female, a person under eighteen years of age.]"
364A,"Kidnapping for ransom, etc.—","Whoever kidnaps or abducts any person or keeps a person in detention after such kidnapping or abduction, and threatens to cause death or hurt to such person, or by his conduct gives rise to a reasonable apprehension that such person may be put to death or hurt, or causes hurt or death to such person in order to compel the Government or 5 [any foreign State or international inter-governmental organisation or any other person] to do or abstain from doing any act or to pay a ransom, "
366A,Procuration of minor girl,"—Whoever, by any means whatsoever, induces any minor girl under the age of eighteen years to go from any place or to do any act with intent that such girl may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person "
366B,Importation of girl from foreign country,"Whoever imports into  [India] from any country outside India  [or from the State of Jammu and Kashmir] any girl under the age of twenty-one years with intent that she may be, or knowing it to be likely that she will be, forced or seduced to illicit intercourse with another person, "
370A,Exploitation of a trafficked person,"(1) Whoever, knowingly or having reason to believe that a minor has been trafficked, engages such minor for sexual exploitation in any manner, shall be punished with rigorous imprisonment for a term which shall not be less than five years, but which may extend to seven years, and shall also be liable to fine. (2) Whoever, knowingly by or having reason to believe that a person has been trafficked, engages such person for sexual exploitation in any manner, shall be punished with rigorous imprisonment for a term which shall not be less than three years, but which may extend to five years, and shall also be liable to fine.]"
376C,Sexual intercourse by a person in authority,"Whoever, being— (a) in a position of authority or in a fiduciary relationship; or (b) a public servant; or (c) superintendent or manager of a jail, remand home or other place of custody established by or under any law for the time being in force, or a women's or children's institution; or (d) on the management of a hospital or being on the staff of a hospital, abuses such position or fiduciary relationship to induce or seduce any woman either in his custody or under his charge or present in the premises to have sexual intercourse with him, such sexual intercourse not amounting to the offence of rape, shall be punished with rigorous imprisonment of either description for a term which shall not be less than five years, but which may extend to ten years, and shall also be liable to fine"
376D,Gang rape,"Where a woman is raped by one or more persons constituting a group or acting
in furtherance of a common intention, each of those persons shall be deemed to have committed the
offence of rape and "
477A,Falsification of accounts,"Whoever, being a clerk, officer or servant, or employed or
acting in the capacity of a clerk, officer or servant, wilfully, and with intent to defraud, destroys, alters,
mutilates or falsifies any 
[book, electronic record, paper, writing] valuable security or account which
belongs to or is in the possession of his employer, or has been received by him for or on behalf of his
employer, or wilfully, and with intent to defraud, makes or abets the making of any false entry in, or
omits or alters or abets the omission or alteration of any material particular from or in. any such 
[book,
electronic record, paper, writing] valuable security or account, 
"
489A,Counterfeiting currency-notes or bank-notes,"Whoever counterfeits, or knowingly
performs any part of the process of counterfeiting, any currency-note or bank-note, 
Explanation.—For the purposes of this section and of sections 489B, 3
[489C, 489D and 489E], the
expression “bank-note” means a promissory note or engagement for the payment of money to bearer on
demand issued by any person carrying on the business of banking in any part of the world, or issued by or
under the authority of any State or Sovereign Power, and intended to be used as equivalent to, or as a
substitute for money"
489B,"Using as genuine, forged or counterfeit currency-notes or bank-notes","Whoever sells to, or buys or receives from, any other person, or otherwise traffics in or uses as genuine, any forged or counterfeit currency-note or bank-note, knowing or having reason to believe the same to be forged or counterfeit, "
489C,Possession of forged or counterfeit currency-notes or bank-notes,"Whoever has in his
possession any forged or counterfeit currency-note or bank-note, knowing or having reason to believe the
same to be forged or counterfeit and intending to use the same as genuine or that it may be used as
genuine,
"
489D,"Making or possessing instruments or materials for forging or counterfeiting currency
notes or bank-notes","Whoever makes, or performs any part of the process of making, or buys or sells
or disposes of, or has in his possession, any machinery, instrument or material for the purpose of being
used, or knowing or having reason to believe that it is intended to be used, for forging or counterfeiting
any currency-note or bank-note, "
489E, Making or using documents resembling currency-notes or bank-notes.,"—(1) Whoever
makes, or causes to be made, or uses for any purpose whatsoever, or delivers to any person, any document
purporting to be, or in any way resembling, or so nearly resembling as to be calculated to deceive, any
currency-note or bank-note shall be punished with fine which may extend to one hundred rupees.(2) If any person, whose name appears on a document the making of which is an offence under
sub-section (1), refuses, without lawful excuse, to disclose to a police-officer on being so required the
name and address of the person by whom it was printed or otherwise made, he shall be punished with fine
which may extend to two hundred rupees.
(3) Where the name of any person appears on any document in respect of which any person is
charged with an offence under sub- section (1) or on any other document used or distributed in connection
with that document it may, until the contrary is proved, be presumed that that person caused the document
to be made.]"
498A,Husband or relative of husband of a woman subjecting her to cruelty.—,"Husband or relative of husband of a woman subjecting her to cruelty.—Whoever, being
the husband or the relative of the husband of a woman, subjects such woman to cruelty
Explanation.—For the purposes of this section, “cruelty” means—
(a) anywilful conduct which is of such a nature as is likely to drive the woman to commit suicide
or to cause grave injury or danger to life, limb or health (whether mental or physical) of the woman;
or
(b) harassment of the woman where such harassment is with a view to coercing her or any person
related to her to meet any unlawful demand for any property or valuable security or is on account of
failure by her or any person related to her to meet such demand."
505.B,"Statements creating or promoting enmity, hatred or ill-will between classes.—","—Whoever makes, publishes or circulates any statement or report containing rumour or alarming news with intent to create or promote, or which is likely to create or promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, feelings of enmity, hatred or illwill between different religious, racial, language or regional groups or castes or communities, "
505.C,"(3) Offence under sub-section (2) committed in place of worship, etc","Whoever commits an offence specified in sub-section (2) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies,"
